headline,summary,timestamp,link
Formula One champion Lewis Hamilton calls for change after Nelson Piquet uses racial slur,,,https://www.washingtonpost.com/sports/2022/06/28/lewis-hamilton-nelson-picquet-slur/
Senate committee appears set to revisit MLB’s antitrust exemption,,,https://www.washingtonpost.com/sports/2022/06/28/mlb-antitrust-exemption-congress-letter/
Cooking at a vacation rental? Here are 6 tips for success.,Vacation rental houses can take you out of your cooking comfort zone — if you try to do too much. Here's how to simplify things.,,https://www.washingtonpost.com/food/2022/06/27/cooking-plan-vacation-house/
"Gay happy hour, neutral pronouns, a ‘glam room’: Hotels go LGBTQ-friendly",,,https://www.washingtonpost.com/travel/2022/06/28/lgbtq-friendly-hotels/
MSNBC to replace Rachel Maddow with Alex Wagner four nights a week,,,https://www.washingtonpost.com/media/2022/06/27/msnbc-maddow-alex-wagner/
The secret to installing floating shelves,,,https://www.washingtonpost.com/home/2022/06/27/how-install-floating-shelves/
Carolyn Hax: Quip at ‘obnoxious’ sister-in-law forces damage control,,"Tuesday, June 28",https://www.washingtonpost.com/advice/2022/06/28/carolyn-hax-sister-in-law-obnoxious-apology/
Ask Amy: Her grandson wore a dress to prom. She asks if it’s ‘a phase’?,,"Tuesday, June 28",https://www.washingtonpost.com/advice/2022/06/28/ask-amy-grandson-gown-prom/
Miss Manners: I need to protect my food from my employees,,"Tuesday, June 28",https://www.washingtonpost.com/advice/2022/06/28/miss-manners-employees-lunch-germs/
‘Marcel the Shell With Shoes On’ is adorable (maybe too adorable?),"Stand-up comedian Jenny Slate voices the title character, a talking shell with one googly eye and shoes.",,https://www.washingtonpost.com/movies/2022/06/28/marcel-the-shell-with-shoes-on-movie-review/
‘ER’ actress Mary Mara dies after apparent drowning in New York river,,,https://www.washingtonpost.com/arts-entertainment/2022/06/28/mary-mara-drowning-actress-er-ny/
‘Lost Illusions’ is Balzac for the 21st century,,,https://www.washingtonpost.com/movies/2022/06/28/lost-illusions-movie-review/
Sam Gilliam never fought the canvas. He liberated it.,,,https://www.washingtonpost.com/arts-entertainment/2022/06/28/sam-gilliam-death/
Robert Adams looked past despair and found the truth of America,,,https://www.washingtonpost.com/arts-entertainment/2022/06/27/robert-adams-national-gallery/
Cartoonists passionately take on the Supreme Court’s abortion decision,,,https://www.washingtonpost.com/comics/2022/06/27/cartoons-abortion-supreme-court-dobbs/
"Leonardo Del Vecchio, Italian titan of eyewear, dies at 87",,,https://www.washingtonpost.com/obituaries/2022/06/27/leonardo-del-vecchio-luxottica-dead/
American University Museum spotlights Caribbean American art,,,https://www.washingtonpost.com/arts-entertainment/2022/06/28/american-university-museum-caribbean-transitions/
Turn a grilled chicken Caesar salad into a crispy sandwich,,,https://www.washingtonpost.com/food/2022/06/28/grilled-chicken-caesar-salad-sandwich-recipe/
Taco Bell Defy tests the future of fast food with ‘tacos from the sky’,,,https://www.washingtonpost.com/food/2022/06/28/taco-bell-defy-automated-drive-through/
Creamy goat cheese dip will upgrade your snack board,,,https://www.washingtonpost.com/food/2022/06/28/goat-cheese-dip-recipe-no-cook/
"Social media app BeReal promises reality. With food, that’s not easy. ",,,https://www.washingtonpost.com/food/2022/06/27/bereal-food-influencer/
"China slashes covid quarantine for travelers, but remains outlier",,,https://www.washingtonpost.com/world/2022/06/28/china-slashes-covid-quarantine-travelers-remains-outlier/
"Gay happy hour, neutral pronouns, a ‘glam room’: Hotels go LGBTQ-friendly",,,https://www.washingtonpost.com/travel/2022/06/28/lgbtq-friendly-hotels/
Everything you need to know about traveling to Germany,,,https://www.washingtonpost.com/travel/tips/germany-travel-restrictions/
Cooking at a vacation rental? 6 tips for success.,,,https://www.washingtonpost.com/food/2022/06/27/cooking-plan-vacation-house/
